Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02 00:00:00-05:00,26.907331466674805,26.93647179432478,26.781050537633156,26.907331466674805,120300,0.0,0.0,0.0
2020-01-03 00:00:00-05:00,26.557634221846186,26.71305548736947,26.489637649775702,26.538206100463867,146700,0.0,0.0,0.0
2020-01-06 00:00:00-05:00,26.3245011668924,26.67419807257069,26.27593086557073,26.65477180480957,88800,0.0,0.0,0.0
2020-01-07 00:00:00-05:00,26.839333663439273,27.130749916019,26.71305458425869,27.014183044433594,182600,0.0,0.0,0.0
2020-01-08 00:00:00-05:00,26.34392800899436,26.56734582592931,26.16907863825659,26.45077896118164,328200,0.0,0.0,0.0
2020-01-09 00:00:00-05:00,26.81990350273055,26.81990350273055,26.509061027309848,26.693622589111328,133500,0.0,0.0,0.0
2020-01-10 00:00:00-05:00,26.946185866343434,27.023896494723505,26.839333057533015,26.917043685913086,173100,0.0,0.0,0.0
2020-01-13 00:00:00-05:00,27.189033048579102,28.043851852416992,27.159890866822945,28.043851852416992,403900,0.0,0.0,0.0
2020-01-14 00:00:00-05:00,28.335264478290334,28.81124230045765,28.170129164251264,28.68496322631836,440300,0.0,0.0,0.0
2020-01-15 00:00:00-05:00,28.68496180114529,28.888951492181693,28.60725117797417,28.762672424316406,223400,0.0,0.0,0.0
2020-01-16 00:00:00-05:00,28.91809701554536,29.073518279864796,28.77238981184184,28.995807647705078,162300,0.0,0.0,0.0
2020-01-17 00:00:00-05:00,29.23865092905614,29.384358119425418,29.06380155950602,29.180368423461914,273000,0.0,0.0,0.0
2020-01-21 00:00:00-05:00,29.073516500891923,29.131799008253573,28.888953066017944,29.015233993530273,267500,0.0,0.0,0.0
2020-01-22 00:00:00-05:00,29.190080161152327,29.306647023234255,29.06380109226704,29.112369537353516,237900,0.0,0.0,0.0
2020-01-23 00:00:00-05:00,28.93752248859063,29.2095087498753,28.62667813563073,29.180368423461914,174400,0.0,0.0,0.0
2020-01-24 00:00:00-05:00,29.26779076580326,29.26779076580326,28.665533894948332,28.80152702331543,172800,0.0,0.0,0.0
2020-01-27 00:00:00-05:00,27.888426027860646,28.01470695044122,27.606725709307902,27.91756820678711,381700,0.0,0.0,0.0
2020-01-28 00:00:00-05:00,28.11184761005835,28.31583731814421,28.03413698039218,28.228412628173828,164100,0.0,0.0,0.0
2020-01-29 00:00:00-05:00,28.296408652579338,28.383833340866026,28.024422380369668,28.140987396240234,150100,0.0,0.0,0.0
2020-01-30 00:00:00-05:00,28.004997221903587,28.344981950889494,27.92728658551547,28.315839767456055,164900,0.0,0.0,0.0
2020-01-31 00:00:00-05:00,28.09241743998912,28.17012806398597,27.74271870561958,27.89813995361328,175800,0.0,0.0,0.0
2020-02-03 00:00:00-05:00,27.927286197634682,28.918098187397618,27.927286197634682,28.879241943359375,475600,0.0,0.0,0.0
2020-02-04 00:00:00-05:00,30.074043552070602,31.939102498570644,30.025475099958364,31.365985870361328,1332900,0.0,0.0,0.0
2020-02-05 00:00:00-05:00,31.32712550499934,31.365981743791277,30.248888964499827,30.39459800720215,763200,0.0,0.0,0.0
2020-02-06 00:00:00-05:00,30.394597188827134,30.501448137093117,30.025470341312246,30.2683162689209,252300,0.0,0.0,0.0
2020-02-07 00:00:00-05:00,29.87005173360886,29.89919391449163,29.30664920591491,29.46207046508789,517800,0.0,0.0,0.0
2020-02-10 00:00:00-05:00,30.025474141473676,30.15175507736261,29.879766937020594,29.957477569580078,694200,0.0,0.0,0.0
2020-02-11 00:00:00-05:00,30.258604525704257,30.666585789427423,30.132325448899067,30.647157669067383,608700,0.0,0.0,0.0
2020-02-12 00:00:00-05:00,31.43397875525001,31.472834994593676,31.1814169050511,31.38541030883789,572400,0.0,0.0,0.0
2020-02-13 00:00:00-05:00,30.86085977504392,31.433976291062727,30.70543853538804,31.297983169555664,484000,0.0,0.0,0.0
2020-02-14 00:00:00-05:00,31.229991924119982,31.569974785752436,31.19113568120905,31.239704132080078,396200,0.0,0.0,0.0
2020-02-18 00:00:00-05:00,31.385410592102392,31.3951227992585,30.89000279983673,31.132848739624023,513800,0.0,0.0,0.0
2020-02-19 00:00:00-05:00,31.696249846257114,32.045948556554066,31.57968113913507,31.832242965698242,611200,0.0,0.0,0.0
2020-02-20 00:00:00-05:00,31.987667367922118,33.20189706240584,31.8905304745774,32.64820861816406,1056500,0.0,0.0,0.0
